_id,FID,DISPFACREG,FNAME,ONAME,FADDR,FMOO,FSOI,FROAD,FTUMNAME,FAMPNAME,FPROVNAME,OBJECT,STATUS,LAT,LNG,Last_update
1,40190000925561,3-88(1)-9/56สบ,บริษัท อินฟินิท กรีน จำกัด,บริษัท อินฟินิท กรีน จำกัด,โฉนด31541,1,NULL,บ้านเขาเกตุ-บ้านดง,ชำผักแพว,แก่งคอย,สระบุรี,โรงงานผลิตไฟฟ้าจากพลังงานแสงอาทิตย์ 1.68 เมกะวัตต์,ดำเนินกิจการ,14.5560378060072,101.0759851652,2023-04-18 21:00:05.000
2,20110001625592,จ3-64(13)-16/59สป,-,นางสมคิด เอี่ยมภิรมย์,290/81,12,NULL,NULL,ในคลองบางปลากด,พระสมุทรเจดีย์,สมุทรปราการ,กลึง เจาะ กัด ไส เจียน หรือเชื่อมโลหะทั่วไป และทำชิ้นส่วนแม่พิมพ์โลหะ,ดำเนินกิจการ,13.603355,100.540314,2023-04-18 21:00:05.000
3,10260000125334,3-3(4)-1/33นย,บ่อทรายสามชัย,นายสุรชัย สุภาวิมล,185,2,NULL,บ้านนา-แก่งคอย,เขาเพิ่ม,บ้านนา,นครนายก,ดูดทราย,ดำเนินกิจการ,14.34767,101.08634,2023-04-18 21:00:05.000
4,10260000125201,3-34(1)-1/20นย,บริษัท ลิ้มเจริญค้าว้สถุก่อสร้าง จำกัด,บริษัท ลิ้มเจริญค้าวัสดุก่อสร้าง จำกัด,120,1,NULL,NULL,องครักษ์,องครักษ์,นครนายก,ไสไม้และซอยไม้,ดำเนินกิจการ,14.1207,100.99979,2023-04-18 21:00:05.000
5,10260001325156,3-9(1)-13/15นย,ห้างหุ้นส่วนจำกัด ตี่ฮั่วเชียง,ห้างหุ้นส่วนจำกัด ตี่ฮั่วเชียง,22,5,NULL,รังสิต-นครนายก,พระอาจารย์,องครักษ์,นครนายก,สีข้าว กำลังสีสูงสุดของร้านสีข้าว 20 เกวียน/วัน,หยุดชั่วคราว,13.97137,100.96136,2023-04-18 21:00:05.000
6,20260000125373,จ3-53(5)-1/37นย,บริษัท บีดี สตรอว์ จำกัด,บริษัท บีดี สตรอว์ จำกัด,50/1,13,NULL,นครนายก-รังสิต,ท่าช้าง,เมืองนครนายก,นครนายก,ผลิตภัณฑ์จากพลาสติก เช่น หลอดดูด ฝาจุก ก้านพันสำลี,ดำเนินกิจการ,14.197485,101.19652,2023-04-18 21:00:05.000
7,10260003225156,3-9(1)-32/15นย,โรงสีไพบูลย์ศิริ,นายสันตชัย เหมยากร,228,4,NULL,NULL,หนองแสง,ปากพลี,นครนายก,สีข้าว ชนิดแยกแกลบแยกรำ (กำลังสีสูงสุดของร้านสีข้าว 20 เกวียน/วัน),หยุดชั่วคราว,14.20365,101.30221,2023-04-18 21:00:05.000
8,10260000125367,3-22(1)-1/36นย,บริษัท บ้านนาสปินเท็กซ์ จำกัด,บริษัท บ้านนาสปินเท็กซ์ จำกัด,19,  3,NULL,NULL,ป่าขะ,บ้านนา,นครนายก,ปั่นด้าย (จำนวนแกนปั่นด้าย 1400 แกน),ดำเนินกิจการ,14.2915,101.06948,2023-04-18 21:00:05.000
9,10260100125358,3-65-1/35นย,บริษัท โปรแค็ป จำกัด,บริษัท โปรแค็ป จำกัด,85,5,NULL,ขุนหนองแสง,หนองแสง,ปากพลี,นครนายก,ผลิตชิ้นส่วนหรืออุปกรณ์ของยานพาหนะ และงานสร้างประกอบเหล็ก,ดำเนินกิจการ,14.2092,101.29352,2023-04-18 21:00:05.000
10,20260000125241,จ3-43(1)-1/24นย,ห้างหุ้นส่วนจำกัด ปุ๋ยประเสริฐสุข,ห้างหุ้นส่วนจำกัด ปุ๋ยประเสริฐสุข,109,  8,NULL,NULL,ท่าช้าง,เมืองนครนายก,นครนายก,ผสมปุ๋ยเคมี,ดำเนินกิจการ,14.171947,101.166187,2023-04-18 21:00:05.000
11,10260000125383,3-50(4)-1/38นย,ห้างหุ้นส่วนจำกัด นครนายกการโยธา,ห้างหุ้นส่วนจำกัด นครนายกการโยธา,16/2,8,NULL,NULL,พรหมณี,เมืองนครนายก,นครนายก,ทำแอสฟัลติกคอนกรีต,ดำเนินกิจการ,14.22421,101.18055,2023-04-18 21:00:05.000
12,20260000425351,จ3-64(13)-4/35นย,นายสมรักษ์ วิศิษฎ์เจริญ,นายสมรักษ์ วิศิษฎ์เจริญ,59,4,NULL,หนองปราจีน,บ้านใหญ่,เมืองนครนายก,นครนายก,กลึงโลหะ,หยุดชั่วคราว,14.19825,101.23164,2023-04-18 21:00:05.000
13,20260000425369,จ3-60-4/36นย,-,นางสาวสำราญ ศรีส้มป่อย,40/1,8,NULL,NULL,ศรีนาวา,เมืองนครนายก,นครนายก,หล่อทองเหลือง,ดำเนินกิจการ,14.22265,101.26796,2023-04-18 21:00:05.000
14,10260000125151,3-14-1/15นย,ห้างหุ้นส่วนจำกัด นครนายกศรีมงคล,ห้างหุ้นส่วนจำกัด นครนายกศรีมงคล,134,  1, ,NULL,ท่าช้าง,เมืองนครนายก,นครนายก,ทำน้ำแข็ง ได้วันละ 364 ซอง,ดำเนินกิจการ,14.20189,101.20157,2023-04-18 21:00:05.000
15,20260100125364,จ3-33-1/36นย,บริษัท ยูเม็ค เทรดดิ้ง จำกัด,บริษัท ยูเม็ค เทรดดิ้ง จำกัด,271,3,ท่าแดง-น้ำตกวังม่วง,-,เกาะหวาย,ปากพลี,นครนายก,"ทำรองเท้าจากผ้า, ถุงมือผ้าและผ้ากันเปื้อน,ผ้าฝ้ายทำความสะอาด",ดำเนินกิจการ,14.16762,101.27323,2023-04-18 21:00:05.000
16,20260300125370,จ3-64(2)-1/37นย,NULL,นายคำตัน ทาภู่,124,1,NULL,สุวรรณศร,เกาะโพธิ์,ปากพลี,นครนายก,ปั๊มโลหะ เช่น น๊อต แผ่นเหล็ก จานหมุนอุปกรณ์ไฟฟ้า,ดำเนินกิจการ,14.17766,101.24382,2023-04-18 21:00:05.000
17,260000125351,ศ3-14-1/35นย,ห้างหุ้นส่วนจำกัด เก๋าไซร์ ไอซ์ นครนายก,ห้างหุ้นส่วนจำกัด เก๋าไซร์ ไอซ์ นครนายก,117,3,NULL,NULL,ทองหลาง,บ้านนา,นครนายก,ผลิตน้ำแข็งหลอด,ดำเนินกิจการ,14.22746,101.05657,2023-04-18 21:00:05.000
18,20260000225348,จ3-9(1)-2/34นย,โรงสีข้าวคงคา,นายศักดา ภิญโญชีพ ,48/1,8,-,-,บ้านพริก,บ้านนา,นครนายก,สีข้าว,หยุดชั่วคราว,14.3051,101.02372,2023-04-18 21:00:05.000
19,20260200125371,จ3-60-1/37นย,NULL,นางเสาวรีย์ สร้อยสาลี ,-,12,NULL,NULL,สาริกา,เมืองนครนายก,นครนายก,หลอมหล่อทองเหลือง,ดำเนินกิจการ,14.26891,101.24541,2023-04-18 21:00:05.000
20,720000525355,ศ3-34(2)-5/35สพ,เกียรติชัยค้าไม้,นางอรสา พุกภิญโญ,234,4,NULL,สุพรรณบุรี-บางบัวทอง,สนามชัย,เมืองสุพรรณบุรี,สุพรรณบุรี,ทำวงกบประตู-หน้าต่างจากไม้,ดำเนินกิจการ,14.47953,100.13186,2023-04-18 21:00:05.000
21,20720200225364,จ3-34(2)-2/36สพ,ห้างหุ้นส่วนจำกัด ทวีทรัพย์ค้าไม้,ห้างหุ้นส่วนจำกัด ทวีทรัพย์ค้าไม้,55,NULL,NULL,มาลัยแมน,ท่าพี่เลี้ยง,เมืองสุพรรณบุรี,สุพรรณบุรี,ทำวงกบประตู-หน้าต่างไม้,ดำเนินกิจการ,14.48184,100.1193,2023-04-18 21:00:05.000
22,20160001525532,จ3-58(1)-15/53ลบ,ห้างหุ้นส่วนจำกัด พี พี เจ ดีเวอร์ล็อปเม้นท์,ห้างหุ้นส่วนจำกัด พี พี เจ ดีเวอร์ล็อปเม้นท์,82/2,3,NULL,NULL,ท่าแค,เมืองลพบุรี,ลพบุรี,ทำผลิตภัณฑ์คอนกรีตผสมเสร็จ,ดำเนินกิจการ,14.8647746948149,100.613262295354,2023-04-18 21:00:05.000
23,10720000925355,3-64(13)-9/35สพ,ปรีชายนต์,นายปรีชา บุญยศ,600/20,5,NULL,สุพรรณบุรี-ชัยนาท,เขาพระ,เดิมบางนางบวช,สุพรรณบุรี,กลึง-เชื่อมโลหะ,ดำเนินกิจการ,14.86171,100.08192,2023-04-18 21:00:05.000
24,10720000125352,3-9(1)-1/35สพ,บริษัท โรงสีสุจิตต์ จำกัด,ห้างหุ้นส่วนจำกัด โรงสีสุจินตต์,157/5,2,-,สุพรรณบุรี-ชัยนาท,เขาพระ,เดิมบางนางบวช,สุพรรณบุรี,สีข้าว (กำลังสีสูงสุดของร้านสีข้าว 150 เกวียน/วัน),หยุดชั่วคราว,14.85939,100.09211,2023-04-18 21:00:05.000
25,20720000925379,จ3-9(1)-9/37สพ,บริษัท โรงสีบุญเจริญพานิช จำกัด,บริษัท โรงสีบุญเจริญพานิช จำกัด,84,7,-,สุพรรณ-ชัยนาท,ปากน้ำ,เดิมบางนางบวช,สุพรรณบุรี,สีข้าว (กำลังการผลิตสูงสุดของร้านสีข้าว 225 เกวียน/วัน),ดำเนินกิจการ,14.94559,100.08338,2023-04-18 21:00:05.000
26,20720000125368,จ3-9(1)-1/36สพ,กวงเจริญพานิช,ห้างหุ้นส่วนจำกัด กวงเจริญ พืชผล,8,2,NULL,NULL,ทุ่งคลี,เดิมบางนางบวช,สุพรรณบุรี,สีข้าว กำลังสีสูงสุดของร้านสีข้าว 600 เกวียน/วัน,ดำเนินกิจการ,14.85687,100.21609,2023-04-18 21:00:05.000
27,20720100125359,จ3-37-1/35สพ,บริษัท แลนด์วู๊ด พาราวู๊ด จำกัด,บริษัท แลนด์วู๊ด พาราวู๊ด จำกัด,125,3,NULL,ท่าช้าง-สระบัวกล้า,หัวนา,เดิมบางนางบวช,สุพรรณบุรี,ทำชิ้นส่วนของเฟอร์นิเจอร์จากไม้ยางพารา,ดำเนินกิจการ,14.87392,99.96645,2023-04-18 21:00:05.000
28,20720000325364,จ3-95(1)-3/36สพ,บางกุ้งกลการ,นายวุฒิชัย ทวีธรรมโชติกุล,95,4,NULL,มาลัยแมน,บางกุ้ง,เมืองสุพรรณบุรี,สุพรรณบุรี,ต่อตัวถังรถบรรทุก และซ่อมรถยนต์ ประกอบและดัดแปลงชิ้นส่วนพิเศษสำหรับรถยนต์ รถพ่วง อาทิ อุปกรณ์กวาดถนน ดูดฝุ่น ตัดหญ้า บดสับไม้หรือวัชพืช และอุปกรณ์สูบน้ำ,ดำเนินกิจการ,14.45571,100.02043,2023-04-18 21:00:05.000
29,20720400125364,จ3-58(1)-1/36สพ,บริษัท นพคุณพัฒนา คอนสตรั๊คชั่น จำกัด,บริษัท นพคุณพัฒนา คอนสตรั๊คชั่น จำกัด,269,5,NULL,มาลัยแมน,ดอนโพธิ์ทอง,เมืองสุพรรณบุรี,สุพรรณบุรี,ทำผลิตภัณฑ์คอนกรีต เช่น ท่อคอนกรีตเสริมเหล็ก,ดำเนินกิจการ,14.47478,100.05457,2023-04-18 21:00:05.000
30,10720000725201,3-9(1)-7/20สพ,โรงสีข้าวสุพรรณธัญญา,นายวินัย ศักดิ์สุพรรณ,306,  3,NULL,อู่ยา-ดอนเจดีย์,สนามคลี,เมืองสุพรรณบุรี,สุพรรณบุรี,สีข้าว (กำลังสีสูงสุดของร้านสีข้าว 20 เกวียน/วัน),ดำเนินกิจการ,14.54224,99.99614,2023-04-18 21:00:05.000
31,10720100125278,3-70-1/27สพ,สวนแตงการกล,นายสุชินร์ ชาตวนิช,376,4,NULL,NULL,สวนแตง,เมืองสุพรรณบุรี,สุพรรณบุรี,ทำท่อสูบน้ำ,ดำเนินกิจการ,14.44381,100.00215,2023-04-18 21:00:05.000
32,20720500125371,จ3-73-1/37สพ,บริษัท ไทยเอ็นเนอร์ยี่คอนเซอร์เวชั่น จำกัด,บริษัท ไทยเอ็นเนอร์ยี่คอนเซอร์เวชั่น จำกัด,320,1,NULL,สุพรรณ-โพธิพระยา (340),สนามชัย,เมืองสุพรรณบุรี,สุพรรณบุรี,ผลิตบัลลาสต์ หม้อแปลง อุปกรณ์ไฟฟ้า อุปกรณ์อิเล็คทรอนิกส์,ดำเนินกิจการ,14.52084,100.11786,2023-04-18 21:00:05.000
33,20720600125370,จ3-77(1)-1/37สพ,สหมิตรเทรลเลอร์,บริษัท สหมิตรเทรลเลอร์ จำกัด,452/2,4,NULL,มาลัยแมน,สวนแตง,เมืองสุพรรณบุรี,สุพรรณบุรี,ต่อตัวถังรถยนต์บรรทุก,ดำเนินกิจการ,14.44655,100.00408,2023-04-18 21:00:05.000
34,10720007425151,3-9(1)-74/15สพ,ห้างหุ้นส่วนจำกัด ธัญญเจริญชัย,ห้างหุ้นส่วนจำกัด ธัญญเจริญชัย,1-2,3,NULL,NULL,เขาพระ,เดิมบางนางบวช,สุพรรณบุรี,สีข้าว กำลังสีสูงสุดของร้านสีข้าว 20 เกวียน/วัน,ดำเนินกิจการ,14.85814,100.08957,2023-04-18 21:00:05.000
35,10720000225384,3-3(1)-2/38สพ,บริษัท สหพัฒนาศิลา จำกัด,บริษัท สหพัฒนาศิลา จำกัด,"น.ส.3 เล่ม 4 หน้า 19 หน้า 45, 95 น.ส.3 กเ ลขที่ 428, 650",5,NULL,NULL,หนองโอ่ง,อู่ทอง,สุพรรณบุรี,"โม่ บด ย่อยหิน ได้ปีละ 180,000 ลูกบาศก์เมตร",ดำเนินกิจการ,14.41738,99.84697,2023-04-18 21:00:05.000
36,720000325343,ศ3-8(1)-3/34สพ,อโลเวร่าสุพรรณบุรี,นางฉลวย กระแจะเจิม,612,3,-,ศรีประจันต์-ดอนเจดีย์,ศรีประจันต์,ศรีประจันต์,สุพรรณบุรี,ผลิตว่านหางจระเข้บรรจุกระป๋อง,ดำเนินกิจการ,14.62124,100.14498,2023-04-18 21:00:05.000
37,10720000225343,3-66-2/34สพ,ช.การช่าง,นางสาวกานดา พึ่งเจริญสกุล,8/2,1,NULL,มาลัยแมน,บางกุ้ง,เมืองสุพรรณบุรี,สุพรรณบุรี,ทำท่อสูบน้ำ ซ่อมรถไถนา,ดำเนินกิจการ,14.45234,100.00687,2023-04-18 21:00:05.000
38,10720010125152,3-9(1)-101/15สพ,ห้างหุ้นส่วนจำกัด โรงสีบูรณะกิจสุพรรณบุรี,ห้างหุ้นส่วนจำกัด โรงสีบูรณะกิจสุพรรณบุรี,221,6,NULL,NULL,รั้วใหญ่,เมืองสุพรรณบุรี,สุพรรณบุรี,สีข้าว กำลังสีสูงสุดของร้านสีข้าว 100 เกวียน/วัน,ดำเนินกิจการ,14.45004,100.11992,2023-04-18 21:00:05.000
39,10720000425299,3-9(1)-4/29สพ,โรงสีชุมนุมสหกรณ์การเกษตรสุพรรณบุรี จำกัด,ชุมนุมสหกรณ์การเกษตรสุพรรณบุรี จำกัด,103,1,NULL,มาลัยแมน,ดอนกำยาน,เมืองสุพรรณบุรี,สุพรรณบุรี,สีข้าว กำลังสีสูงสุดของร้านสีข้าว 110 เกวียน/วัน,ดำเนินกิจการ,14.48243,100.05902,2023-04-18 21:00:05.000
40,720000225352,ศ3-14-2/35สพ,ห้างหุ้นส่วนจำกัด สยามวอเตอร์เพียว,ห้างหุ้นส่วนจำกัด สยามวอเตอร์เพียว,207,2,NULL,ไผ่ขวาง,ไผ่ขวาง,เมืองสุพรรณบุรี,สุพรรณบุรี,ทำน้ำแข็งก้อนเล็ก ได้วันละ 20 ตัน,ดำเนินกิจการ,14.46194,100.14685,2023-04-18 21:00:05.000
41,720000125347,ศ3-12(11)-1/34สพ,ไอศกรีมสุพรรณบุรี,นาย ชาญศักดิ์ พัฒนกิตติพงษ์,69,2,-,สุพรรณบุรี-เก้าห้อง,ทับตีเหล็ก,เมืองสุพรรณบุรี,สุพรรณบุรี,ทำไอศกรีม,ดำเนินกิจการ,14.43987,100.12241,2023-04-18 21:00:05.000
42,10720000525346,3-77(1)-5/34สพ,ห้างหุ้นส่วนจำกัด ก้าวอุดมก่อสร้าง (1986),ห้างหุ้นส่วนจำกัด ก้าวอุดมก่อสร้าง (1986),202/1,4,NULL,มาลัยแมน,สวนแตง,เมืองสุพรรณบุรี,สุพรรณบุรี,ต่อตัวถังรถยนต์บรรทุก,ดำเนินกิจการ,14.43115,99.9977,2023-04-18 21:00:05.000
43,10720001825281,3-66-18/28สพ,โรงกลึงวัฒนะผล,นายวีรเชษฐ จงเพิ่มวัฒนะผล,441/2,9,NULL,NULL,ทุ่งคอก,สองพี่น้อง,สุพรรณบุรี,ผลิตหรือซ่อมแซมอุปกรณ์เครื่องยนต์และรถไถนา,ดำเนินกิจการ,14.18052,99.93816,2023-04-18 21:00:05.000
44,10720101125277,3-64(13)-11/27สพ,บริษัท เจียมพลังงาน อินเตอร์เนชั่นแนล จำกัด,บริษัท เจียมพลังงาน อินเตอร์เนชั่นแนล จำกัด,191,8,NULL,มาลัยแมน,ศาลาขาว,เมืองสุพรรณบุรี,สุพรรณบุรี,กลึงและเชื่อมโลหะ,ดำเนินกิจการ,14.40634,99.96221,2023-04-18 21:00:05.000
45,10720001125278,3-58(1)-11/27สพ,ห้างหุ้นส่วนจำกัด ต.แสงอุปกรณ์สุพรรณบุรี สาขา1,ห้างหุ้นส่วนจำกัด ต.แสงอุปกรณ์สุพรรณบุรี,225,5,NULL,สุพรรณบุรี-บา  บัวทอง,ท่าระหัด,เมืองสุพรรณบุรี,สุพรรณบุรี,ทำผลิตภัณฑ์คอนกรีต เช่น ท่อน้ำ เสาปูน,ดำเนินกิจการ,14.4674,100.13177,2023-04-18 21:00:05.000
46,10720000225285,3-66-2/28สพ,ส.มณีโชคพัฒนา,นายโกเมี้ยน รถมณี,NULL,  1,NULL,มาลัยแมน,บางกุ้ง,เมืองสุพรรณบุรี,สุพรรณบุรี,ผลิตอุปกรณ์ของเครื่องจักรสำหรับใช้ในการกสิกรรม,ดำเนินกิจการ,14.45413,100.0094,2023-04-18 21:00:05.000
47,10720000125337,3-66-1/33สพ,ห้างหุ้นส่วนจำกัด ยรรยงเอ็นจิเนียริ่ง,ห้างหุ้นส่วนจำกัด ยรรยงเอ็นจิเนียริ่ง,51/1,NULL,เณรแก้ว 3,เณรแก้ว,ท่าระหัด,เมืองสุพรรณบุรี,สุพรรณบุรี,ทำ และซ่อมอุปกรณ์เครื่องจักรสีข้าว,ดำเนินกิจการ,14.48019,100.12522,2023-04-18 21:00:05.000
48,10720001325183,3-9(1)-13/18สพ,โรงสีอุดมธัญญา,นายทวีศักดิ์ หิรัญเมฆาวนิช,140,1,NULL,NULL,ดอนมะสังข์,เมืองสุพรรณบุรี,สุพรรณบุรี,สีข้าว กำลังสีสูงสุดของร้านสีข้าว 160 เกวียน/วัน,ดำเนินกิจการ,14.5394,100.18788,2023-04-18 21:00:05.000
49,10720000325242,3-56-3/24สพ,NULL,นายประเสริฐ ศรีทอง,122,3,NULL,NULL,ดอนมะสังข์,เมืองสุพรรณบุรี,สุพรรณบุรี,ทำอิฐ,ดำเนินกิจการ,14.55399,100.19697,2023-04-18 21:00:05.000
50,20720000325349,จ3-9(1)-3/34สพ,อ.การเกษตร,บริษัท โรงสี อ.การเกษตร 2011 จำกัด,29/8,3,-,สุพรรณบุรี-ดอนเจดีย์,สนามคลี,เมืองสุพรรณบุรี,สุพรรณบุรี,สีข้าว กำลังสีสูงสุดของร้านสีข้าว 200 เกวียน/วัน,ดำเนินกิจการ,14.53934,99.99684,2023-04-18 21:00:05.000
51,20720300125373,จ3-58(1)-1/37สพ,บริษัท ปูนซิเมนต์ไทย(ท่าหลวง) จำกัด,บริษัท ผลิตภัณฑ์และวัตถุก่อสร้างจำกัด,84,4,NULL,NULL,ไผ่ขวาง,เมืองสุพรรณบุรี,สุพรรณบุรี,ผลิตคอนกรีตผสมเสร็จ,ดำเนินกิจการ,14.46184,100.16882,2023-04-18 21:00:05.000
52,10720000125345,3-3(1)-1/34สพ,บริษัท โรงโม่หินด่านช้าง จำกัด,บริษัท โรงโม่หินด่านช้าง จำกัด,NULL,5, ,ด่านช้าง-บ้านไร่,หนองมะค่าโมง,ด่านช้าง,สุพรรณบุรี,ระเบิด โม่ บด ย่อยหิน,ดำเนินกิจการ,14.86645,99.69325,2023-04-18 21:00:05.000
53,10730800125353,3-60-1/35นฐ,ถวิลการช่าง,นายถวิล ศรีอินทร์คำ,60/5,1,NULL,ศาลายา-ไทยาวาส,มหาสวัสดิ์,พุทธมณฑล,นครปฐม,หลอมหล่อทองเหลือง เช่น พระพุทธรูป,ดำเนินกิจการ,13.8072833333333,100.2686,2023-04-18 21:00:05.000
54,10730100225358,3-22(4)-2/35นฐ,นายบุญเชิด ศิริปทุมมาศ,นายบุญเชิด ศิริปทุมมาศ,89/1,5,NULL,ห้วยพลู-ดอนตูม,วัดละมุด,นครชัยศรี,นครปฐม,พิมพ์ผ้า,ดำเนินกิจการ,13.8864333333333,100.193733333333,2023-04-18 21:00:05.000
55,20730500325350,จ3-77(1)-3/35นฐ,บริษัท เอ็น.ซี. มอเตอร์ (1991) จำกัด,บริษัท เอ็น.ซี.มอเตอร์ (1991) จำกัด,15/35,3,NULL,เพชรเกษม,ศรีษะทอง,นครชัยศรี,นครปฐม,"ซ่อมและต่อตัวถังรถยนต์,ผลิตชิ้นส่วนรถยนต์ เช่น ประตูรถยนต์",ดำเนินกิจการ,13.8046833333333,100.161333333333,2023-04-18 21:00:05.000
56,10730500325345,3-55-3/34นฐ,บริษัท คาสเดย์ (ขอนแก่น) คอร์โปเรชั่น จำกัด,บริษัท คาสเดย์ (ขอนแก่น) คอร์โปเรชั่น จำกัด,68/6,1,NULL,ศาลายา-ไทยาวาส,ศาลายา,พุทธมณฑล,นครปฐม,ผลิตเครื่องเคลือบดินเผาและผลิตภัณฑ์เกี่ยวกับพลาสติกเป็นรูปทรงต่าง ๆ,ดำเนินกิจการ,13.8044,100.28155,2023-04-18 21:00:05.000
57,10730000425348,3-22(1)-4/34นฐ,บริษัท อินโดรามา โพลีเอสเตอร์ อินดัสตรีส์ จำกัด(มหาชน),บริษัท อินโดรามา โพลีเอสเตอร์ อินดัสตรีส์ จำกัด(มหาชน),35/8,4,NULL,เพชรเกษม,ขุนแก้ว,นครชัยศรี,นครปฐม,"ผลิต POLYESTER CHIP, POLYESTER STAPLE FIBRE, POLYESTER PRE-ORIENTED YARN, POLYESTER FILAMENT YARN และ FULLY DRAWN YARN",ดำเนินกิจการ,13.7583833333333,100.188066666667,2023-04-18 21:00:05.000
58,20730900125376,จ3-36(1)-1/37นฐ,บริษัท อินเตอร์ เอ็กซ์เพิร์ท คอนสตรัคชั่น จำกัด,บริษัท อินเตอร์ เอ็กซ์เพิร์ท คอนสตรัคชั่น จำกัด,96/2,4,NULL,NULL,ลำพยา,เมืองนครปฐม,นครปฐม,ผลิตตู้ลำโพง เฟอร์นิเจอร์ และชั้นวางของจากไม้ ดอกลำโพง โดยไม่มีการล้าง ชุบ หรือเคลือบผิวชิ้นงาน โดยการใช้สารเคมี ผลิตและจำหน่ายสินค้าและอุปกรณ์เกี่ยวเนื่องที่ให้ความบันเทิง เช่น เครื่องเล่นเกมปาเป้า โต๊ะพูล และอื่น ๆ,ดำเนินกิจการ,13.8173833333333,100.017666666667,2023-04-18 21:00:05.000
59,10730300425345,3-77(1)-4/34นฐ,ห้างหุ้นส่วนจำกัด ซี.พี.เอส.การาจ,ห้างหุ้นส่วนจำกัด ซี.พี.เอส.การาจ,139,3,NULL,NULL,หนองปากโลง,เมืองนครปฐม,นครปฐม,ต่อตัวถังรถยนต์ด้วยเหล็ก และเคาะพ่นสีรถยนต์,ดำเนินกิจการ,13.8276333333333,100.012266666667,2023-04-18 21:00:05.000
60,20730700225376,จ3-46(1)-2/37นฐ,เสริมสุขโอสถ,นายสกล พิศูทธินุศาสตร์,4/4,8,NULL,NULL,บ่อพลับ,เมืองนครปฐม,นครปฐม,บดสมุนไพร,ดำเนินกิจการ,13.8328166666667,100.0603,2023-04-18 21:00:05.000
61,20730200125381,จ3-9(1)-1/38นฐ,บริษัท โรงสี ช.รุ่งเรือง (1995) จำกัด,บริษัท โรงสี ช.รุ่งเรือง (1995) จำกัด,58/1,9,NULL,มาลัยแมน,ทัพหลวง,เมืองนครปฐม,นครปฐม,สีข้าว (กำลังสีสูงสุดของร้านสีข้าว 60 เกวียน/วัน),ดำเนินกิจการ,13.9008666666667,99.9818833333333,2023-04-18 21:00:05.000
62,10730000125203,3-8(2)-1/20นฐ,บริษัท สยามพรีเสริฟฟู้ดส์ จำกัด,บริษัท รวมอาหาร จำกัด,140,2,-,เพชรเกษม,สระกะเทียม,เมืองนครปฐม,นครปฐม,ผลิตผลไม้แห้งและขนมต่าง ๆ,ดำเนินกิจการ,13.796195,99.964441,2023-04-18 21:00:05.000
63,730000325359,ศ3-92-3/35นฐ,NULL,นางสาวธันยกานต์ ราศีวิสุทธิ์,85/2,8,NULL,มาลัยแมน,วังตะกู,เมืองนครปฐม,นครปฐม,ห้องเย็นเก็บอาหารทะเลแช่แข็ง,ดำเนินกิจการ,13.8652,100.006816666667,2023-04-18 21:00:05.000
64,10730500225362,3-60-2/36นฐ,ห้างหุ้นส่วนจำกัด วรกิจกลการ,ห้างหุ้นส่วนจำกัด วรกิจกลการ,253,3,NULL,NULL,หนองดินแดง,เมืองนครปฐม,นครปฐม,หลอมหล่อ กลึงและชุบอลูมิเนียม เช่น อะไหล่เครื่องทอผ้า อะไหล่เครื่องปั่นด้ายและทำผลิตภัณฑ์โลหะต่าง ๆ เช่น รั้วสแตนเลส,ดำเนินกิจการ,13.7853,99.9872166666667,2023-04-18 21:00:05.000
65,10730001225242,3-9(1)-12/24นฐ,บริษัท โรงสีข้าวกิจธนา 1 จำกัด,ห้างหุ้นส่วนจำกัด กิจธนา,85,3,NULL,NULL,ทัพหลวง,เมืองนครปฐม,นครปฐม,สีข้าว กำลังสีสูงสุดของร้านสีข้าว 16 เกวียน/วัน,ดำเนินกิจการ,13.8793333333333,99.9938166666667,2023-04-18 21:00:05.000
66,10730000625269,3-9(1)-6/26นฐ,โรงสีข้าวชุมนุมสหกรณ์การเกษตรแห่งประเทศไทย จำกัด (ชสท.),โรงสีข้าวชุมนุมสหกรณ์การเกษตร,46/9,2,NULL,ทางแยกเข้าอำเภอนครชัยศรี,ท่าตำหนัก,นครชัยศรี,นครปฐม,สีข้าว กำลังสีสูงสุดของร้านสีข้าว 25 เกวียน/วัน,ดำเนินกิจการ,13.7964333333333,100.173133333333,2023-04-18 21:00:05.000
67,10730600125355,3-52(4)-1/35นฐ,บริษัท สยามฟองน้ำโฟม จำกัด,บริษัท สยามฟองน้ำโฟม จำกัด,44/18,5,วัดบ่อตะกั่ว,เพชรเกษม,ท่าพระยา,นครชัยศรี,นครปฐม,ทำพื้นรองเท้าจากยางดิบ,ดำเนินกิจการ,13.77965,100.130666666667,2023-04-18 21:00:05.000
68,10720000125311,3-9(1)-1/31สพ,ห้างหุ้นส่วนจำกัด โรงสีไฟทรัพย์ปกรณ์,ห้างหุ้นส่วนจำกัด โรงสีทรัพย์ปกรณ์,80,5,-,-,หนองหญ้าไซ,หนองหญ้าไซ,สุพรรณบุรี,สีข้าว กำลังสีสูงสุดของร้านสีข้าว 200 เกวียน/วัน,หยุดชั่วคราว,14.77747,99.91944,2023-04-18 21:00:05.000
