_id,FID,DISPFACREG,FNAME,ONAME,FADDR,FMOO,FSOI,FROAD,FTUMNAME,FAMPNAME,FPROVNAME,OBJECT,STATUS,LAT,LNG,Last_update
15267,20160071825622,จ3-45(1)-1/62ลบ,ห้างหุ้นส่วนจำกัด ชยกร ทราฟฟิค,ห้างหุ้นส่วนจำกัด ชยกร ทราฟฟิค,14/14,1,NULL,NULL,กกโก,เมืองลพบุรี,ลพบุรี,ผลิต จำหน่าย ติดตั้ง สีเทอร์โมพลาสติกสะท้อนแสงสำหรับทำเครื่องหมายบนผิวทางและอุปกรณ์เกี่ยวกับแผงวงจรไฟฟ้าแสงสว่าง งานอำนวยความปลอดภัย,ดำเนินกิจการ,14.7853951984949,100.655692218122,2023-04-18 21:00:05.000
15268,20740078625628,จ3-100(5)-3/62สค,บริษัท อีเล็กซ์ พรีไซซ์ จำกัด,บริษัท อีเล็กซ์ พรีไซซ์ จำกัด,99/69,3,NULL,NULL,สวนหลวง,กระทุ่มแบน,สมุทรสาคร,ชุบโลหะและเคลือบโลหะชนิดต่าง ๆ,หยุดชั่วคราว,13.671215,100.29813,2023-04-18 21:00:05.000
15269,20120080225628,จ3-53(4)-11/62นบ,บริษัท สแกน อินเตอร์ จำกัด (มหาชน),บริษัท สแกน อินเตอร์ จำกัด (มหาชน),50/2,1,NULL,ไทรร้อย-ลาดบัวหลวง,ราษฎร์นิยม,ไทรน้อย,นนทบุรี,ผลิตถังบรรจุก๊าซจากพลาสติก,ดำเนินกิจการ,14.0306667712978,100.313279591246,2023-04-18 21:00:05.000
15270,20740105425612,จ3-34(4)-54/61สค,บริษัท เอเซีย ไบโอแมส จำกัด (มหาชน),บริษัท เอเซีย ไอโอแมส จำกัด (มหาชน),122,1,NULL,พระราม2,บางน้ำจืด,เมืองสมุทรสาคร,สมุทรสาคร,ผลิตขี้เลื่อย ขี้กบ เศษไม้ อัดแท่ง อัดก้อน,ดำเนินกิจการ,13.596133,100.356346,2023-04-18 21:00:05.000
15271,20740401225617,จ3-68-12/61สค,บริษัท ทองดี แมชชีนเนอรี่ จำกัด,บริษัท ทองดี แมชชีนเนอรี่ จำกัด,368/2,10,NULL,NULL,คลองมะเดื่อ,กระทุ่มแบน,สมุทรสาคร,"ผลิต ประกอบ ซ่อมแซมเครื่องจักร สำหรับอุตสาหกรรม เช่น เครื่องบรรจุ,เครื่องปิดฝาขวด,ล้างขวด,ปิดฉลาก,สายพานลำเลียง ฯลฯ",ดำเนินกิจการ,13.63527,100.30222,2023-04-18 21:00:05.000
15272,20720001025617,จ3-66-10/61สพ,บุญเสริม สาคร,นายบุญเสริม สาคร,30/2,4,NULL,NULL,สวนแตง,เมืองสุพรรณบุรี,สุพรรณบุรี,โรงงานผลิตท่อสูบน้ำ,ดำเนินกิจการ,14.411855,100.001714,2023-04-18 21:00:05.000
15273,20741200525611,จ3-6(3)-5/61สค,ลูกชิ้นปลาธารทิพย์,นางสาวธารทิพย์ ชวลิตพร,93/2,2,วัดชีผ้าขาว,NULL,ท่าจีน,เมืองสมุทรสาคร,สมุทรสาคร,ผลิตลูกชิ้นปลา,ดำเนินกิจการ,13.528724,100.241394,2023-04-18 21:00:05.000
15274,20730115825638,จ3-71-14/63นฐ,บริษัท ไทยแมกซ์เวลอิเลคทริค จำกัด,บริษัท ไทยแมกซ์เวลอิเลคทริค จำกัด,NULL,NULL,NULL,NULL,บ้านใหม่,สามพราน,นครปฐม,"ผลิตและจำหน่ายเครื่องจักร เช่น เครื่องพันคอยล์,เครื่องม้วนเหล็ก,เครื่องผ่าเหล็ก,ตู้อบหม้อแปลง,ตู้อบแกนเหล็ก,เตาชุบแข็งโลหะ",ดำเนินกิจการ,13.7042333333333,100.2476,2023-04-18 21:00:05.000
15275,20140121825632,จ3-33-3/63อย,บริษัท ฮาน่าเทค จำกัด,บริษัท ฮาน่าเทค จำกัด,84/1,11,-,-,บางนมโค,เสนา,พระนครศรีอยุธยา,ผลิตชิ้นส่วนรองเท้า และพิมพ์ลวดลายลงบนผ้าหรือสิ่งทอ,ดำเนินกิจการ,14.2830917,100.4232037,2023-04-18 21:00:05.000
15276,20730001525540,จ3-3(2)-15/54นฐ,เชิดชัย,นายเชิดชัย ไพรสงบ,-,7,NULL,NULL,คลองนกกระทุง,บางเลน,นครปฐม,ขุดตักดิน ทรายและดูดทรายในที่ดินกรรมสิทธิ์,ดำเนินกิจการ,13.981975,100.201588,2023-04-18 21:00:05.000
15277,20130000625559,จ3-10(3)-6/55ปท,บริษัท นิสชิน ฟูดส์ (ไทยแลนด์) จำกัด,บริษัท นิสชิน ฟูดส์ (ไทยแลนด์) จำกัด,83/43,19,NULL,NULL,คลองหนึ่ง,คลองหลวง,ปทุมธานี,"ผลิตบะหมี่กึ่งสำเร็จรูป,เครื่องปรุงรส ขยายทำภาชนะบรรจุบะหมี่กึ่งสำเร็จรูป",ดำเนินกิจการ,14.116522,100.618889,2023-04-18 21:00:05.000
15278,20730000525525,จ3-41(2)-5/52นฐ,บริษัท เอ็นทีเอ็น พาร์ทเทค จำกัด,บริษัท เอ็นทีเอ็น พาร์ทเทค จำกัด,77/58,7,NULL,NULL,คลองโยง,พุทธมณฑล,นครปฐม,ทำแม่พิมพ์ ชิ้นส่วนแม่พิมพ์ เช่น แม่พิมพ์พลาสติก,ดำเนินกิจการ,13.8855,100.27958,2023-04-18 21:00:05.000
