name,category,lat,lon,dist_nearest_station_km
บริษัท ผลิตภัณฑ์ตราเพชร จำกัด (มหาชน),Cement/Quarry/Stone,14.5553,100.96727,5.482173995464842
บริษัท สระบุรีสรรพกิจ จำกัด,Cement/Quarry/Stone,14.54857,100.9629,4.673640545250949
กิตติชัยซีเมนต์บล๊อก,Cement/Quarry/Stone,14.54807,100.96054,4.4295066496776565
บริษัท นนทบุรี เอ็นจิเนียริ่ง จำกัด,Cement/Quarry/Stone,14.5560996426267,100.9796841347,6.654102881590264
บริษัท สระบุรีแกรนิต จำกัด,Other manufacturing,14.54583,100.96054,4.298744419874203
บริษัท ผลิตภัณฑ์ตราเพชร จำกัด (มหาชน),Cement/Quarry/Stone,14.5553,100.96732,5.486530522303572
ห้างหุ้นส่วนจำกัด เอ็น.บี.เมลทอลบ๊อก,Other manufacturing,14.54471,100.97339,5.4898328518147705
บริษัท กะรัต ฟอเซท จำกัด,Other manufacturing,14.55767,100.97152,6.00741677709253
ห้างหุ้นส่วนจำกัด ทัศน์-ศิรินทร์กลการ,Other manufacturing,14.54495,100.95972,4.173390829159065
บริษัท สระบุรี โซล่าร์ จำกัด,Power/Energy,14.5432949236765,100.9644692168,4.544937596866395
บริษัท สระบุรี โซล่าร์ จำกัด,Power/Energy,14.5523862,100.9559243,4.32753034223288
ห้างหุ้นส่วนจำกัด ไทยพิพัฒน์ ซีเอส,Other manufacturing,14.53803,100.98228,6.190710500840572
บี-ควิก สาขาโรบินสัน สระบุรี,Other manufacturing,14.539469,100.950797,3.037641078829693
บริษัท อริยสิน จำกัด,Cement/Quarry/Stone,14.54883,100.93779,2.801746901360745
บริษัท ศุภภัณฑ์ คอนกรีต จำกัด,Cement/Quarry/Stone,14.55746,100.9253,3.4609865573776326
บริษัท พงศ์ศิริ คอนกรีต 2016 จำกัด,Cement/Quarry/Stone,14.5548594029997,100.926063996699,3.1708798674498504
บริษัท สยามไฟเบอร์ซีเมนต์กรุ๊ป จำกัด,Cement/Quarry/Stone,14.53646,100.94931,2.7450761472494576
บริษัท เอสซีจี รูฟฟิ่ง จำกัด,Other manufacturing,14.5342344983158,100.9495173073,2.6743629448393413
สมศักดิ์การช่าง,Other manufacturing,14.55052,100.86196,7.403324612266033
ห้างหุ้นส่วนจำกัด เอ.เอ็น.การช่าง แอนด์ เซอร์วิส,Other manufacturing,14.5436747,100.855152,7.870457692555367
บริษัท ชัยวัฒนา ไรซ์ จำกัด,Other manufacturing,14.58824,100.8314,11.6977874833089
บริษัท ชัยวัฒนา ไรซ์ จำกัด,Other manufacturing,14.58811,100.8314,11.711199192288586
บริษัท โรงสี ส.ประเสริฐชัย จำกัด,Other manufacturing,14.57627,100.82644,12.072697476869331
บริษัท พี เอส ที คอนกรีต จำกัด,Cement/Quarry/Stone,14.5829536,100.8169747,12.880516056777534
บริษัท พงษ์ศักดิ์ไชยท่าลาน จำกัด,Other manufacturing,14.5818,100.7981,14.036546622910572
ห้างหุ้นส่วนจำกัด มาลัย รุ่งเรืองกรุ๊ป,Waste/Recycling,14.5818905,100.7762689,15.480802946376672
บริษัท ศรีรุ้งบรรจุภัณฑ์ จำกัด,Other manufacturing,14.6533703,100.8618947,3.7696872157323646
บริษัท จี.เอ็ท.เซรามิค ฟิลเตอร์ (เอ็กซ์ปอร์ต) จำกัด,Other manufacturing,14.61382,100.83393,8.993880743603992
บริษัท รุ่งเรืองสอดส่อง จำกัด,Cement/Quarry/Stone,14.6510316,100.8640536,3.9629319238546064
บริษัท เอส.เอส. คอนกรีตโปรดักส์ จำกัด,Cement/Quarry/Stone,14.65225,100.86419,3.827503116834101
นางสาวเนตรนภา วงษ์แดง,Other manufacturing,14.5310795338882,100.9057461535,2.2477409380213764
บริษัท มากอตโต จำกัด,Cement/Quarry/Stone,14.5102682,100.7723625,16.63952823610412
ห้างหุ้นส่วนจำกัด สมอนงค์ เซอร์วิส,Waste/Recycling,14.6686599566677,100.8594031418,2.3412089163768166
-,Other manufacturing,14.5672720136472,100.8344570086,10.857711911664708
ห้างหุ้นส่วนจำกัด โรงสีประเวสน์กิจไพศาล,Other manufacturing,14.58926,100.84668,11.041208052422952
บริษัท อาหารสัตว์ไทยสระบุรี จำกัด,Other manufacturing,14.59038,100.85429,10.504513913158856
บริษัท เอ็มไพร์ แกรนิต จำกัด,Other manufacturing,14.58906,100.84606,11.078902213487918
บริษัท ไทยหัตถกรรมหินอ่อนและแกรนิต จำกัด,Other manufacturing,14.5892,100.84677,11.029487977647571
,Other manufacturing,14.5310795338882,100.9057461535,2.2477409380213764
บริษัท พาเลท เมกเกอร์ กรุ๊ป จำกัด,Other manufacturing,14.5847472,100.8875363,7.704173259785392
บริษัท ซันสโตน จำกัด,Other manufacturing,14.58515,100.89278,7.455082675835659
ธีราการเกษตร,Other manufacturing,14.56272,100.86877,7.373354027108694
ชื่อโรงงาน นายณัฐธนาพงษ์ แสงแก้ว,Other manufacturing,14.5772300200509,100.8595478519,9.12371810886822
ห้างหุ้นส่วนจำกัด โรงสีพูนสมบัติไพศาล,Other manufacturing,14.5592,100.86826,7.2134283612051
