date,station,pm25,pm10,aod_047,aod_055,evi,ndvi,temperature,wind_speed_10m,wind_speed_50m,wind_direction,relative_humidity,rainfall,surface_pressure,fire_count,dist_to_nearest_fire_km,month,day_of_week,dist_to_nearest_factory_km,dist_to_risk_factory_km,lat,lon,lst_c,dist_to_road_km,dist_to_nearest_facility_km,builtup_frac
2023-06-05,จุดตรวจวัดอากาศ-1,14.62,19.49,0.16583333333333333,0.12466666666666668,0.2919,0.4781,30.19,3.45,5.3,221.0,70.52,3.19,99.86,4,24.752554194791305,6,0,40.289373674951314,40.289373674951314,15.1329699,100.6037821,40.51000000000005,20.451702475778667,40.289373674951314,0.0
2023-06-29,จุดตรวจวัดอากาศ-2,13.82,27.64,,,0.3971,0.6441,29.54,2.16,3.04,247.1,72.93,1.62,100.05,0,,6,3,41.53667187856605,41.53667187856605,15.1323173,100.860427,,21.06853916926395,41.53667187856605,0.004912843632554538
2023-06-13,จุดตรวจวัดอากาศ-3,20.54,22.28,0.252,0.189,0.2624,0.4307,28.05,5.21,7.37,220.5,74.91,6.26,98.03,0,,6,1,31.658708666935706,31.658708666935706,15.1313906,101.1148911,,20.263511174993354,31.658708666935706,0.0
2023-06-13,จุดตรวจวัดอากาศ-4,12.82,0.0,,,0.32230000000000003,0.54335,28.05,5.21,7.37,220.5,74.91,6.26,98.03,0,,6,1,40.048521926335575,40.048521926335575,15.1301891,101.3710697,39.55000000000001,21.988997300956004,40.048521926335575,0.008212640807946281
2023-06-13,จุดตรวจวัดอากาศ-5,22.62,39.01,,,0.22160000000000002,0.36655000000000004,28.43,5.18,7.33,227.7,73.78,2.04,98.04,0,,6,1,61.00435707884811,61.00435707884811,15.1286122,101.6271326,41.25000000000006,30.588886433687833,61.00435707884811,0.001176999158382322
2023-06-29,จุดตรวจวัดอากาศ-6,27.29,36.38,0.123,0.09233333333333334,0.23445000000000002,0.41250000000000003,29.54,2.16,3.04,247.1,72.93,1.62,100.05,0,,6,3,15.786871760050268,15.786871760050268,14.884332,100.6052271,,0.7942924468473204,15.786871760050268,0.0
2023-06-05,จุดตรวจวัดอากาศ-7,10.98,100.37,0.13116666666666665,0.09816666666666668,0.31930000000000003,0.5261,30.19,3.45,5.3,221.0,70.52,3.19,99.86,4,21.49712027442848,6,0,14.1438430188254,14.1438430188254,14.8841998,100.8607278,37.31,0.8096379375776417,14.1438430188254,0.03375608234712202
2023-06-05,จุดตรวจวัดอากาศ-8,7.93,30.46,0.15,0.11233333333333333,0.3935,0.6482,28.44,3.6,5.59,221.6,76.45,3.68,97.96,3,22.905648499719277,6,0,4.696759801815308,4.696759801815308,14.8838629,101.1151294,36.690000000000055,0.4645265182628811,4.696759801815308,0.05493232568271287
2023-06-28,จุดตรวจวัดอากาศ-9,29.23,0.0,,,0.48465,0.6821,26.89,2.8,4.15,250.4,82.2,0.89,98.21,0,,6,2,25.166537516960442,25.166537516960442,14.8826264,101.3709489,33.33000000000004,1.4314064300886544,25.166537516960442,0.003355215740128432
2023-06-25,จุดตรวจวัดอากาศ-10,14.23,32.53,0.1135,0.085,0.25470000000000004,0.47815,27.43,3.36,5.22,280.6,74.91,1.04,98.09,0,,6,6,52.58638418705829,52.58638418705829,14.8824661,101.6271879,39.55000000000001,22.93899255082402,52.58638418705829,0.0
2023-06-24,จุดตรวจวัดอากาศ-11,49.41,58.43,0.0,0.0,0.374,0.63815,30.24,3.71,5.73,307.0,66.61,5.24,100.37,0,,6,5,5.682113986010997,5.682113986010997,14.6359424,100.6066765,30.250000000000057,11.926846100889954,5.682113986010997,0.004468979379758353
